optimizer,eps,beta1,beta2,learning_rate,final_val_perplexity,final_train_loss,min_val_perplexity,run_name,weight_decay,momentum,xi,beta,adam_b1,adam_b2,beta_rms
adam,1e-08,0.808224758126669,0.950468747322776,0.01110842933644225,4.388360500335693,1.1958051919937134,4.325859546661377,rich-sweep-57,,,,,,,
adamw,1e-08,0.8145374124331191,0.9383982682620842,0.008176537008676325,4.406454563140869,1.1940754652023315,4.3065972328186035,driven-sweep-410,0.0011495966609860436,,,,,,
sgd,,,,0.1975213476975185,5.056459426879883,1.5423133373260498,5.0447001457214355,dulcet-sweep-15,,0.90753063087824,,,,,
sgd_metric,,,,0.47494457446909266,8.072958946228027,1.9832520484924316,7.06472635269165,grateful-sweep-405,0.00013415203959389916,0.8700136052973173,3.5693280542342914e-07,0.760343593516252,,,
sgd_log_metric,,,,0.9960749759051908,7.6232099533081055,2.0349314212799072,7.6232099533081055,ethereal-sweep-278,1.2814876916814274e-05,0.8601022903910851,4.326350925580331e-06,0.679227005348594,,,
muon,1e-08,,,0.007523138710769298,4.445683479309082,1.242875337600708,4.355860233306885,ancient-sweep-337,0.001360593171209796,,,0.9822378830063072,0.8265295256309521,0.9915226603765516,
sgd_rms,1e-08,,,0.007004813912675228,4.426621913909912,1.202404260635376,4.361291885375977,tough-sweep-487,0.009017542723430024,0.8759663751660873,1.1503673211362469e-07,0.8784968502526245,,,0.9987137299890836
