optimizer,eps,beta1,beta2,n_epochs,batch_size,learning_rate,final_test_mse,final_train_mse,min_val_loss,run_name,weight_decay,momentum,xi,beta,adam_b1,adam_b2,beta_rms
adam,1e-08,0.9884079394705424,0.9755509883934016,200,1024,0.006209499672691204,0.02273676171898842,0.0012487543281167746,0.02116982452571392,fearless-sweep-454,,,,,,,
adamw,1e-08,0.9815029710463442,0.9116180809944268,200,1024,0.004390529718424181,0.025271493941545486,0.001567793427966535,0.0251409150660038,quiet-sweep-65,0.0023978322753991942,,,,,,
sgd,,,,200,1024,0.12102466698463996,0.03825117275118828,0.00365595705807209,0.03631918504834175,autumn-sweep-136,,0.8216092289781726,,,,,
sgd_metric,,,,200,1024,0.6674048127308755,0.03286397084593773,0.004314015153795481,0.03150862082839012,pious-sweep-28,1.2260092610173866e-05,0.9836082202127188,0.0019256692883157036,0.8785588147665602,,,
sgd_log_metric,,,,200,1024,0.28298135557689247,0.05310636758804321,0.007643511518836021,0.0315275564789772,rosy-sweep-190,0.00016354048372410558,0.9659862417962798,0.019578555928218673,0.8360299824865887,,,
muon,1e-08,,,200,1024,0.009484607469786905,0.03520001843571663,0.006900763139128685,0.03434816747903824,divine-sweep-97,0.00044071762456645815,,,0.9054166036048292,0.8278886346039026,0.9133912289378572,
sgd_rms,1e-08,,,200,1024,0.013691259764300192,0.02752847410738468,0.0037704964634031057,0.022889671847224236,glowing-sweep-137,0.0005389905996142743,0.976340213443488,0.01858291275306076,0.7957594311680819,,,0.9500482116914194
