optimizer,eps,beta1,beta2,n_epochs,batch_size,learning_rate,final_test_acc,final_train_acc,max_val_acc,run_name,weight_decay,momentum,xi,beta,adam_b1,adam_b2,beta_rms
adam,1e-08,0.8375455338479524,0.9628536201795213,200,1024,0.009377619174366894,0.9772135615348816,0.9992423057556152,0.9806857705116272,copper-sweep-497,,,,,,,
adamw,1e-08,0.893271837956604,0.982027411566941,200,1024,0.012343409756158172,0.976671040058136,0.9986698627471924,0.9802517294883728,sage-sweep-134,2.182360929898813e-06,,,,,,
sgd,,,,200,1024,0.3171425659569204,0.9790581464767456,1.0,0.9802517294883728,faithful-sweep-164,,0.40126305777764737,,,,,
sgd_metric,,,,200,1024,0.6649530530790642,0.9813368320465088,0.998652994632721,0.9816623330116272,vivid-sweep-212,0.0004019924128525733,0.9165680785129092,7.429900238145742e-05,0.8892935732449405,,,
sgd_log_metric,,,,200,1024,0.14215270452159248,0.9777560830116272,0.9942416548728944,0.9832899570465088,elated-sweep-315,0.007861896048941074,0.9068508111697704,0.0030794510231888614,0.7033100379678381,,,
muon,1e-08,,,200,1024,0.0027420019325999833,0.9789496660232544,1.0,0.9811198115348816,fanciful-sweep-284,1.9714103214394908e-05,,,0.9087934701505436,0.9160859701738846,0.9726766506208742,
sgd_rms,1e-08,,,200,1024,0.004750232691943875,0.9778645634651184,0.9992423057556152,0.981553852558136,misty-sweep-333,2.345002274900377e-06,0.9074670734572696,0.0007575321369926389,0.6523022033834296,,,0.9882059508464924
